# Wavelength (nm)	Counts
# Exptime(ms): 20
214.2800	449.00
214.8243	449.00
215.3684	447.00
215.9125	449.00
216.4564	446.00
217.0002	450.00
217.5440	451.00
218.0876	449.00
218.6311	453.00
219.1745	455.00
219.7178	450.00
220.2609	450.00
220.8040	447.00
221.3470	448.00
221.8898	440.00
222.4326	440.00
222.9752	434.00
223.5177	430.00
224.0601	425.00
224.6024	429.00
225.1446	428.00
225.6867	431.00
226.2287	430.00
226.7706	432.00
227.3123	431.00
227.8540	434.00
228.3955	1151.00
228.9369	1729.00
229.4783	1972.00
230.0195	2093.00
230.5606	2137.00
231.1016	2160.00
231.6425	2164.00
232.1833	2167.00
232.7239	2169.00
233.2645	2163.00
233.8049	2155.00
234.3453	2156.00
234.8855	2153.00
235.4256	2155.00
235.9656	2148.00
236.5056	2155.00
237.0453	2167.00
237.5850	2167.00
238.1246	2168.00
238.6641	2169.00
239.2034	2156.00
239.7427	2162.00
240.2818	2150.00
240.8209	2136.00
241.3598	2128.00
241.8986	2139.00
242.4373	2129.00
242.9759	2133.00
243.5144	2131.00
244.0528	2133.00
244.5911	2140.00
245.1292	2151.00
245.6673	2151.00
246.2052	2143.00
246.7430	2151.00
247.2808	2147.00
247.8184	2134.00
248.3559	2145.00
248.8933	2147.00
249.4306	2139.00
249.9678	2133.00
250.5048	2138.00
251.0418	2137.00
251.5786	2133.00
252.1154	2136.00
252.6520	2157.00
253.1885	2154.00
253.7250	2157.00
254.2613	2152.00
254.7975	2168.00
255.3336	2164.00
255.8695	2176.00
256.4054	2177.00
256.9412	2178.00
257.4768	2167.00
258.0124	2173.00
258.5478	2165.00
259.0831	2162.00
259.6183	2149.00
260.1534	2157.00
260.6884	2163.00
261.2233	2160.00
261.7581	2159.00
262.2928	2171.00
262.8274	2175.00
263.3618	2165.00
263.8962	2155.00
264.4304	2142.00
264.9645	2138.00
265.4985	2154.00
266.0324	2145.00
266.5662	2133.00
267.0999	2134.00
267.6335	2137.00
268.1670	2123.00
268.7003	2114.00
269.2336	2121.00
269.7667	2135.00
270.2998	2132.00
270.8327	2146.00
271.3655	2155.00
271.8982	2160.00
272.4308	2162.00
272.9633	2170.00
273.4957	2154.00
274.0280	2158.00
274.5601	2149.00
275.0922	2155.00
275.6241	2145.00
276.1560	2132.00
276.6877	2132.00
277.2193	2130.00
277.7508	2133.00
278.2822	2136.00
278.8135	2128.00
279.3447	2130.00
279.8758	2142.00
280.4067	2151.00
280.9376	2152.00
281.4683	2141.00
281.9990	2157.00
282.5295	2168.00
283.0599	2163.00
283.5902	2154.00
284.1204	2157.00
284.6505	2164.00
285.1805	2148.00
285.7104	2144.00
286.2401	2145.00
286.7698	2147.00
287.2994	2143.00
287.8288	2143.00
288.3581	2134.00
288.8873	2156.00
289.4164	2165.00
289.9454	2166.00
290.4743	2173.00
291.0031	2175.00
291.5318	2170.00
292.0604	2155.00
292.5888	2152.00
293.1172	2148.00
293.6454	2150.00
294.1735	2163.00
294.7016	2154.00
295.2295	2170.00
295.7573	2167.00
296.2850	2170.00
296.8125	2172.00
297.3400	2182.00
297.8674	2175.00
298.3946	2179.00
298.9218	2182.00
299.4488	2179.00
299.9758	2172.00
300.5026	2171.00
301.0293	2172.00
301.5559	2171.00
302.0824	2154.00
302.6088	2165.00
303.1350	2166.00
303.6612	2165.00
304.1873	2161.00
304.7132	2175.00
305.2390	2184.00
305.7648	2201.00
306.2904	2198.00
306.8159	2204.00
307.3413	2174.00
307.8666	2163.00
308.3918	2163.00
308.9169	2162.00
309.4418	2173.00
309.9667	2182.00
310.4914	2178.00
311.0161	2184.00
311.5406	2187.00
312.0650	2177.00
312.5893	2182.00
313.1135	2182.00
313.6376	2172.00
314.1616	2177.00
314.6855	2170.00
315.2093	2176.00
315.7329	2183.00
316.2565	2174.00
316.7799	2155.00
317.3032	2157.00
317.8265	2154.00
318.3496	2163.00
318.8726	2163.00
319.3955	2166.00
319.9183	2155.00
320.4409	2161.00
320.9635	2158.00
321.4860	2153.00
322.0083	2182.00
322.5306	2188.00
323.0527	2172.00
323.5747	2174.00
324.0966	2168.00
324.6184	2159.00
325.1401	2160.00
325.6617	2168.00
326.1832	2152.00
326.7046	2166.00
327.2258	2172.00
327.7470	2169.00
328.2680	2182.00
328.7889	2186.00
329.3098	2182.00
329.8305	2171.00
330.3511	2149.00
330.8716	2151.00
331.3920	2154.00
331.9122	2151.00
332.4324	2152.00
332.9525	2154.00
333.4724	2152.00
333.9923	2166.00
334.5120	2159.00
335.0316	2161.00
335.5511	2166.00
336.0705	2167.00
336.5898	2165.00
337.1090	2165.00
337.6281	2153.00
338.1471	2152.00
338.6659	2159.00
339.1847	2165.00
339.7033	2168.00
340.2219	2175.00
340.7403	2186.00
341.2586	2184.00
341.7768	2194.00
342.2949	2196.00
342.8129	2189.00
343.3308	2189.00
343.8485	2181.00
344.3662	2189.00
344.8837	2174.00
345.4012	2179.00
345.9185	2189.00
346.4357	2191.00
346.9529	2177.00
347.4699	2178.00
347.9868	2166.00
348.5035	2162.00
349.0202	2157.00
349.5368	2168.00
350.0533	2171.00
350.5696	2175.00
351.0859	2183.00
351.6020	2176.00
352.1180	2175.00
352.6339	2182.00
353.1497	2188.00
353.6654	2185.00
354.1810	2168.00
354.6965	2165.00
355.2119	2182.00
355.7271	2188.00
356.2423	2172.00
356.7573	2158.00
357.2723	2146.00
357.7871	2147.00
358.3018	2156.00
358.8164	2159.00
359.3309	2163.00
359.8453	2171.00
360.3596	2183.00
360.8738	2184.00
361.3878	2176.00
361.9018	2170.00
362.4156	2171.00
362.9293	2176.00
363.4430	2170.00
363.9565	2174.00
364.4699	2181.00
364.9832	2176.00
365.4964	2184.00
366.0095	2178.00
366.5224	2166.00
367.0353	2159.00
367.5481	2156.00
368.0607	2169.00
368.5732	2164.00
369.0857	2163.00
369.5980	2167.00
370.1102	2162.00
370.6223	2156.00
371.1343	2158.00
371.6462	2167.00
372.1579	2177.00
372.6696	2174.00
373.1811	2184.00
373.6926	2162.00
374.2039	2162.00
374.7152	2159.00
375.2263	2165.00
375.7373	2160.00
376.2482	2158.00
376.7590	2169.00
377.2697	2175.00
377.7802	2159.00
378.2907	2157.00
378.8010	2156.00
379.3113	2179.00
379.8214	2170.00
380.3315	2165.00
380.8414	2161.00
381.3512	2168.00
381.8609	2175.00
382.3705	2170.00
382.8800	2161.00
383.3893	2174.00
383.8986	2167.00
384.4077	2159.00
384.9168	2170.00
385.4257	2183.00
385.9346	2165.00
386.4433	2165.00
386.9519	2172.00
387.4604	2178.00
387.9688	2178.00
388.4771	2188.00
388.9852	2183.00
389.4933	2174.00
390.0013	2171.00
390.5091	2170.00
391.0168	2176.00
391.5245	2175.00
392.0320	2177.00
392.5394	2170.00
393.0467	2173.00
393.5539	2171.00
394.0610	2153.00
394.5679	2158.00
395.0748	2151.00
395.5816	2160.00
396.0882	2150.00
396.5948	2167.00
397.1012	2165.00
397.6075	2176.00
398.1137	2159.00
398.6198	2165.00
399.1258	2161.00
399.6317	2171.00
400.1375	2172.00
400.6431	2185.00
401.1487	2184.00
401.6541	2192.00
402.1595	2183.00
402.6647	2174.00
403.1698	2179.00
403.6748	2162.00
404.1797	2168.00
404.6845	2164.00
405.1892	2164.00
405.6938	2177.00
406.1983	2179.00
406.7026	2189.00
407.2069	2190.00
407.7110	2199.00
408.2150	2174.00
408.7189	2183.00
409.2228	2175.00
409.7265	2170.00
410.2301	2167.00
410.7335	2184.00
411.2369	2191.00
411.7402	2175.00
412.2433	2176.00
412.7464	2176.00
413.2493	2166.00
413.7522	2177.00
414.2549	2187.00
414.7575	2189.00
415.2600	2178.00
415.7624	2186.00
416.2647	2173.00
416.7669	2178.00
417.2689	2180.00
417.7709	2168.00
418.2727	2165.00
418.7745	2184.00
419.2761	2178.00
419.7776	2185.00
420.2790	2198.00
420.7803	2197.00
421.2815	2195.00
421.7826	2201.00
422.2836	2198.00
422.7845	2185.00
423.2852	2186.00
423.7859	2185.00
424.2864	2172.00
424.7868	2170.00
425.2872	2165.00
425.7874	2170.00
426.2875	2155.00
426.7875	2164.00
427.2874	2163.00
427.7871	2180.00
428.2868	2169.00
428.7864	2172.00
429.2858	2166.00
429.7852	2163.00
430.2844	2176.00
430.7835	2176.00
431.2825	2172.00
431.7814	2193.00
432.2802	2193.00
432.7789	2195.00
433.2775	2186.00
433.7760	2192.00
434.2743	2182.00
434.7726	2179.00
435.2707	2186.00
435.7687	2198.00
436.2667	2197.00
436.7645	2208.00
437.2622	2201.00
437.7598	2201.00
438.2573	2187.00
438.7546	2180.00
439.2519	2178.00
439.7491	2191.00
440.2461	2194.00
440.7431	2200.00
441.2399	2207.00
441.7366	2184.00
442.2332	2185.00
442.7297	2189.00
443.2261	2180.00
443.7224	2187.00
444.2186	2186.00
444.7147	2194.00
445.2106	2196.00
445.7065	2207.00
446.2022	2196.00
446.6979	2198.00
447.1934	2189.00
447.6888	2185.00
448.1841	2182.00
448.6793	2179.00
449.1744	2177.00
449.6694	2183.00
450.1643	2197.00
450.6590	2194.00
451.1537	2194.00
451.6482	2209.00
452.1426	2212.00
452.6370	2211.00
453.1312	2192.00
453.6253	2199.00
454.1193	2204.00
454.6132	2206.00
455.1070	2208.00
455.6006	2193.00
456.0942	2197.00
456.5876	2201.00
457.0810	2199.00
457.5742	2189.00
458.0673	2180.00
458.5604	2180.00
459.0533	2188.00
459.5461	2210.00
460.0388	2213.00
460.5313	2209.00
461.0238	2204.00
461.5162	2206.00
462.0084	2189.00
462.5006	2202.00
462.9926	2217.00
463.4845	2229.00
463.9763	2227.00
464.4681	2220.00
464.9596	2211.00
465.4511	2207.00
465.9425	2221.00
466.4338	2220.00
466.9250	2220.00
467.4160	2228.00
467.9070	2222.00
468.3978	2230.00
468.8885	2210.00
469.3791	2206.00
469.8696	2207.00
470.3600	2199.00
470.8503	2192.00
471.3405	2199.00
471.8306	2211.00
472.3205	2211.00
472.8104	2208.00
473.3001	2224.00
473.7898	2217.00
474.2793	2211.00
474.7687	2205.00
475.2580	2214.00
475.7472	2210.00
476.2363	2214.00
476.7253	2213.00
477.2142	2203.00
477.7029	2196.00
478.1916	2195.00
478.6801	2189.00
479.1686	2192.00
479.6569	2194.00
480.1451	2193.00
480.6332	2203.00
481.1212	2211.00
481.6091	2213.00
482.0969	2206.00
482.5846	2197.00
483.0721	2200.00
483.5596	2220.00
484.0469	2222.00
484.5342	2195.00
485.0213	2196.00
485.5083	2205.00
485.9952	2201.00
486.4820	2205.00
486.9687	2215.00
487.4553	2209.00
487.9418	2201.00
488.4282	2192.00
488.9144	2199.00
489.4006	2206.00
489.8866	2212.00
490.3725	2202.00
490.8583	2215.00
491.3441	2229.00
491.8297	2231.00
492.3151	2213.00
492.8005	2218.00
493.2858	2202.00
493.7710	2189.00
494.2560	2196.00
494.7410	2202.00
495.2258	2195.00
495.7105	2206.00
496.1952	2199.00
496.6797	2206.00
497.1641	2215.00
497.6484	2197.00
498.1325	2193.00
498.6166	2193.00
499.1006	2205.00
499.5844	2199.00
500.0682	2191.00
500.5518	2202.00
501.0354	2213.00
501.5188	2207.00
502.0021	2216.00
502.4853	2203.00
502.9684	2192.00
503.4514	2195.00
503.9342	2194.00
504.4170	2190.00
504.8997	2188.00
505.3822	2191.00
505.8647	2196.00
506.3470	2208.00
506.8292	2209.00
507.3113	2226.00
507.7933	2228.00
508.2752	2213.00
508.7570	2192.00
509.2387	2200.00
509.7202	2194.00
510.2017	2202.00
510.6831	2195.00
511.1643	2208.00
511.6454	2216.00
512.1264	2216.00
512.6074	2215.00
513.0882	2229.00
513.5689	2226.00
514.0494	2222.00
514.5299	2221.00
515.0103	2208.00
515.4905	2203.00
515.9707	2212.00
516.4507	2203.00
516.9307	2201.00
517.4105	2206.00
517.8902	2202.00
518.3698	2200.00
518.8493	2204.00
519.3287	2201.00
519.8080	2191.00
520.2871	2185.00
520.7662	2189.00
521.2451	2201.00
521.7240	2219.00
522.2027	2207.00
522.6813	2210.00
523.1598	2206.00
523.6382	2222.00
524.1165	2198.00
524.5947	2206.00
525.0728	2207.00
525.5508	2217.00
526.0286	2230.00
526.5064	2225.00
526.9840	2219.00
527.4616	2209.00
