Wavelength (nm),Responsivity (A/W),Uncertainty (%),QE
300,0.1255,0.66,0.51873
305,0.13,0.64,0.52852
310,0.1329,0.64,0.5316
315,0.1356,0.62,0.53379
320,0.1378,0.60,0.53398
325,0.1395,0.60,0.53225
330,0.1409,0.58,0.52944
335,0.1426,0.58,0.52783
340,0.1438,0.58,0.52445
345,0.1447,0.56,0.52008
350,0.1447,0.56,0.51265
355,0.1433,0.54,0.50054
360,0.1412,0.44,0.48636
365,0.1404,0.38,0.47698
370,0.1418,0.36,0.47522
375,0.1465,0.36,0.48443
380,0.1531,0.34,0.49959
385,0.1599,0.34,0.515
390,0.1663,0.32,0.52875
395,0.172,0.32,0.53995
400,0.1773,0.30,0.54963
405,0.1823,0.30,0.55815
410,0.187,0.28,0.56556
415,0.1915,0.28,0.57219
420,0.1957,0.28,0.57778
425,0.1999,0.26,0.58324
430,0.2039,0.26,0.58799
435,0.2077,0.24,0.59206
440,0.2114,0.24,0.59576
445,0.2152,0.22,0.59966
450,0.2187,0.22,0.60264
455,0.2223,0.20,0.60583
460,0.2257,0.19,0.60841
465,0.229,0.18,0.61067
470,0.2324,0.18,0.61314
475,0.236,0.17,0.61608
480,0.2393,0.16,0.61819
485,0.2425,0.15,0.62
490,0.2457,0.14,0.62177
495,0.2489,0.13,0.62351
500,0.252,0.13,0.62496
505,0.2552,0.12,0.62663
510,0.2583,0.11,0.62802
515,0.2614,0.10,0.62939
520,0.2645,0.098,0.63073
525,0.2676,0.092,0.63205
530,0.2706,0.086,0.6331
535,0.2736,0.082,0.63414
540,0.2766,0.080,0.63516
545,0.2796,0.076,0.63615
550,0.2826,0.076,0.63713
555,0.2856,0.076,0.6381
560,0.2886,0.076,0.63904
565,0.2915,0.076,0.63975
570,0.2944,0.076,0.64045
575,0.2974,0.076,0.64135
580,0.3003,0.074,0.64202
585,0.3032,0.076,0.64268
590,0.3061,0.074,0.64333
595,0.309,0.074,0.64397
600,0.3119,0.074,0.64459
605,0.3148,0.074,0.64521
610,0.3176,0.074,0.64561
615,0.3205,0.074,0.64621
620,0.3233,0.074,0.6466
625,0.3261,0.074,0.64698
630,0.3289,0.072,0.64736
635,0.3318,0.072,0.64792
640,0.3347,0.072,0.64848
645,0.3375,0.072,0.64884
650,0.3404,0.072,0.64938
655,0.3433,0.072,0.64991
660,0.3461,0.072,0.65025
665,0.3489,0.072,0.65058
670,0.3517,0.072,0.65091
675,0.3545,0.074,0.65123
680,0.3573,0.072,0.65155
685,0.3602,0.072,0.65204
690,0.3629,0.072,0.65217
695,0.3657,0.072,0.65247
700,0.3685,0.072,0.65277
705,0.3713,0.072,0.65307
710,0.3741,0.072,0.65336
715,0.3769,0.072,0.65364
720,0.3796,0.072,0.65376
725,0.3824,0.072,0.65404
730,0.3852,0.072,0.65431
735,0.388,0.072,0.65459
740,0.3908,0.072,0.65485
745,0.3936,0.072,0.65512
750,0.3963,0.072,0.65522
755,0.3991,0.074,0.65548
760,0.4018,0.072,0.65557
765,0.4046,0.072,0.65582
770,0.4073,0.072,0.65591
775,0.41,0.072,0.656
780,0.4129,0.072,0.65641
785,0.4156,0.072,0.65649
790,0.4184,0.072,0.65673
795,0.4211,0.072,0.65681
800,0.4238,0.074,0.65689
805,0.4265,0.072,0.65697
810,0.4293,0.072,0.6572
815,0.432,0.072,0.65728
820,0.4347,0.072,0.65735
825,0.4375,0.070,0.65758
830,0.4402,0.070,0.65765
835,0.443,0.070,0.65787
840,0.4457,0.070,0.65794
845,0.4485,0.070,0.65815
850,0.4511,0.070,0.65808
855,0.4539,0.070,0.65829
860,0.4567,0.072,0.6585
865,0.4593,0.072,0.65842
870,0.4621,0.072,0.65863
875,0.4647,0.070,0.65855
880,0.4674,0.072,0.65861
885,0.4702,0.072,0.65881
890,0.4729,0.074,0.65887
895,0.4757,0.072,0.65907
900,0.4784,0.074,0.65913
905,0.4811,0.078,0.65919
910,0.4839,0.076,0.65938
915,0.4866,0.080,0.65944
920,0.4892,0.092,0.65936
925,0.4918,0.098,0.65928
930,0.4943,0.11,0.65907
935,0.4965,0.096,0.65846
940,0.4988,0.10,0.65799
945,0.5007,0.11,0.657
950,0.5025,0.11,0.65589
955,0.5036,0.12,0.65389
960,0.5042,0.12,0.65126
965,0.5041,0.15,0.64776
970,0.5031,0.16,0.64314
975,0.5012,0.19,0.63742
980,0.4979,0.22,0.63
985,0.4933,0.24,0.62101
990,0.4872,0.28,0.61023
995,0.4793,0.30,0.59732
1000,0.4703,0.30,0.58317
1005,0.4597,0.30,0.56719
1010,0.4454,0.30,0.54683
1015,0.4287,0.32,0.52373
1020,0.4099,0.30,0.49831
1025,0.3881,0.32,0.46951
1030,0.3638,0.30,0.43797
1035,0.3378,0.32,0.40471
1040,0.3104,0.32,0.37009
1045,0.2817,0.32,0.33427
1050,0.253,0.32,0.29878
1055,0.2251,0.34,0.26457
1060,0.1964,0.32,0.22975
1065,0.1723,0.30,0.20061
1070,0.1545,0.32,0.17905
1075,0.1385,0.32,0.15976
1080,0.1241,0.32,0.14249
1085,0.1107,0.32,0.12651
1090,0.0984,0.30,0.11194
1095,0.0872,0.32,0.09875
1100,0.0772,0.32,0.08703
